source,benchmark,category,model_type,device,kernel_count,peak_performance_tflops,median_performance_tflops,median_arithmetic_intensity,median_xtime_ns,coverage_rank
"accuracy-cuda","accuracy","Machine learning","cuda","3080",1,0.0,0.0,0.0,511840.0,36.0
"accuracy-cuda","accuracy","Machine learning","cuda","A10",1,0.0,0.0,0.0,705045.0,36.0
"accuracy-cuda","accuracy","Machine learning","cuda","A100",1,0.022509,0.022509,0.025408,372672.0,42.0
"accuracy-cuda","accuracy","Machine learning","cuda","H100",1,0.0503,0.0503,0.025406,166773.0,39.0
"accuracy-omp","accuracy","Machine learning","omp","3080",1,0.0,0.0,0.0,624565.0,27.0
"accuracy-omp","accuracy","Machine learning","omp","A10",1,0.0,0.0,0.0,919723.0,27.0
"accuracy-omp","accuracy","Machine learning","omp","A100",1,0.006367,0.006367,0.012703,658859.0,36.0
"accuracy-omp","accuracy","Machine learning","omp","H100",1,0.000132,0.000132,0.000122,304768.0,36.0
"ace-cuda","ace","Simulation","cuda","3080",6,0.277342,0.117549,1.681973,15530586.5,22.0
"ace-cuda","ace","Simulation","cuda","A10",6,0.180439,0.076417,1.21208,23652645.5,23.0
"ace-cuda","ace","Simulation","cuda","A100",6,3.343117,2.550257,4.239902,2068357.5,8.0
"ace-cuda","ace","Simulation","cuda","H100",6,7.092146,3.19964,1.937238,1158922.5,6.0
"ace-omp","ace","Simulation","omp","3080",5,0.286468,0.0,0.0,3038800.0,17.0
"ace-omp","ace","Simulation","omp","A10",5,0.187761,0.0,0.0,4225387.0,16.0
"ace-omp","ace","Simulation","omp","A100",5,2.889383,0.159252,0.126094,1607515.0,7.0
"ace-omp","ace","Simulation","omp","H100",5,5.40539,0.013702,0.20081,992853.0,7.0
"adam-cuda","adam","Machine learning","cuda","3080",1,2.065691,2.065691,1080.48777,89515.0,10.0
"adam-cuda","adam","Machine learning","cuda","A10",1,1.264057,1.264057,973.677193,146283.0,10.0
"adam-cuda","adam","Machine learning","cuda","A100",1,1.504855,1.504855,1133.635708,128245.0,16.0
"adam-cuda","adam","Machine learning","cuda","H100",1,2.175389,2.175389,1130.23369,88715.0,18.0
"adam-omp","adam","Machine learning","omp","3080",1,1.708939,1.708939,1088.040039,116320.0,9.0
"adam-omp","adam","Machine learning","omp","A10",1,1.051335,1.051335,995.085415,189077.0,9.0
"adam-omp","adam","Machine learning","omp","A100",1,1.38978,1.38978,1276.5214,154603.0,13.0
"adam-omp","adam","Machine learning","omp","H100",1,2.018413,2.018413,1273.376926,106432.0,13.0
"adamw-cuda","adamw","Machine learning","cuda","3080",1,1.811151,1.811151,4.253712,65152.0,11.0
"adamw-cuda","adamw","Machine learning","cuda","A10",1,1.207036,1.207036,3.796632,97760.0,11.0
"adamw-cuda","adamw","Machine learning","cuda","A100",1,2.741763,2.741763,7.225087,48811.0,10.0
"adamw-cuda","adamw","Machine learning","cuda","H100",1,4.498014,4.498014,7.578324,30635.0,13.0
"adamw-omp","adamw","Machine learning","omp","3080",1,0.401561,0.401561,3.891513,268949.0,14.0
"adamw-omp","adamw","Machine learning","omp","A10",1,0.263307,0.263307,3.381535,410165.0,14.0
"adamw-omp","adamw","Machine learning","omp","A100",1,0.582197,0.582197,7.088805,226432.0,20.0
"adamw-omp","adamw","Machine learning","omp","H100",1,0.814225,0.814225,7.047793,157301.0,18.0
"addBiasQKV-cuda","addBiasQKV","Machine learning","cuda","3080",1,1.021709,1.021709,4.051905,147787.0,16.0
"addBiasQKV-cuda","addBiasQKV","Machine learning","cuda","A10",1,0.671397,0.671397,3.490825,224896.0,16.0
"addBiasQKV-cuda","addBiasQKV","Machine learning","cuda","A100",1,1.447865,1.447865,5.757874,104288.0,17.0
"addBiasQKV-cuda","addBiasQKV","Machine learning","cuda","H100",1,4.021464,4.021464,4.148791,23467.0,14.0
"addBiasResidualLayerNorm-cuda","addBiasResidualLayerNorm","Machine learning","cuda","3080",3,2.47631,1.636298,4.58611,29899.0,7.0
"addBiasResidualLayerNorm-cuda","addBiasResidualLayerNorm","Machine learning","cuda","A10",3,1.68841,1.064585,4.026541,45957.5,7.0
"addBiasResidualLayerNorm-cuda","addBiasResidualLayerNorm","Machine learning","cuda","A100",3,4.717543,3.135655,8.231986,19643.0,6.0
"addBiasResidualLayerNorm-cuda","addBiasResidualLayerNorm","Machine learning","cuda","H100",3,6.689803,4.482877,7.250344,12363.0,7.0
"adjacent-cuda","adjacent","Language and kernel features","cuda","3080",1,0.0,0.0,0.0,1165109.0,36.0
"adjacent-cuda","adjacent","Language and kernel features","cuda","A10",1,0.0,0.0,0.0,1636565.0,36.0
"adjacent-cuda","adjacent","Language and kernel features","cuda","A100",1,0.177755,0.17722,0.127454,564277.0,36.0
"adjacent-cuda","adjacent","Language and kernel features","cuda","H100",1,0.0,0.0,0.0,259168.0,45.0
"adjacent-omp","adjacent","Language and kernel features","omp","3080",3,0.0,0.0,0.0,1344053.0,27.0
"adjacent-omp","adjacent","Language and kernel features","omp","A10",3,0.0,0.0,0.0,1924896.0,27.0
"adjacent-omp","adjacent","Language and kernel features","omp","A100",3,0.541604,0.525672,0.506289,760928.0,21.0
"adjacent-omp","adjacent","Language and kernel features","omp","H100",3,0.929168,0.862931,0.51014,465365.0,17.0
"adv-cuda","adv","Simulation","cuda","3080",1,0.079159,0.079159,2.259213,390219.0,31.0
"adv-cuda","adv","Simulation","cuda","A10",1,0.04879,0.04879,2.280715,633216.0,31.0
"adv-cuda","adv","Simulation","cuda","A100",1,0.197272,0.197272,5.589238,156597.0,34.0
"adv-cuda","adv","Simulation","cuda","H100",1,0.299343,0.299343,5.587725,103200.0,32.0
"adv-omp","adv","Simulation","omp","3080",1,0.071851,0.071851,1.024703,397088.0,22.0
"adv-omp","adv","Simulation","omp","A10",1,0.044288,0.044288,1.219982,644352.0,22.0
"adv-omp","adv","Simulation","omp","A100",1,0.174542,0.174542,5.166386,163563.0,29.0
"adv-omp","adv","Simulation","omp","H100",1,0.263769,0.263769,5.161492,108171.0,24.0
"affine-cuda","affine","Computer vision and image processing","cuda","3080",1,0.838147,0.838147,5.781565,4629.0,17.0
"affine-cuda","affine","Computer vision and image processing","cuda","A10",1,0.542099,0.542099,4.824543,7157.0,17.0
"affine-cuda","affine","Computer vision and image processing","cuda","A100",1,0.865232,0.865232,9.338549,5696.0,22.0
"affine-cuda","affine","Computer vision and image processing","cuda","H100",1,0.972624,0.972624,7.349882,3989.0,22.0
"affine-omp","affine","Computer vision and image processing","omp","3080",1,3.268125,3.268125,35.389035,7925.0,5.0
"affine-omp","affine","Computer vision and image processing","omp","A10",1,2.078808,2.078808,30.500862,12459.0,6.0
"affine-omp","affine","Computer vision and image processing","omp","A100",1,3.317177,3.317177,51.021235,8192.0,6.0
"affine-omp","affine","Computer vision and image processing","omp","H100",1,5.16722,5.16722,58.439525,6027.0,8.0
"aidw-cuda","aidw","Geoscience","cuda","3080",2,2.213386,1.734868,3420.434663,588821.5,9.0
"aidw-cuda","aidw","Geoscience","cuda","A10",2,1.360992,1.082161,2645.685228,934176.0,9.0
"aidw-cuda","aidw","Geoscience","cuda","A100",2,2.250983,1.54564,3455.921346,771296.0,13.0
"aidw-cuda","aidw","Geoscience","cuda","H100",2,3.540296,2.505156,3748.939384,454363.0,16.0
"aidw-omp","aidw","Geoscience","omp","3080",1,2.055293,2.055293,27399.949923,3622731.0,8.0
"aidw-omp","aidw","Geoscience","omp","A10",1,1.290245,1.290245,18138.479912,5770821.0,8.0
"aidw-omp","aidw","Geoscience","omp","A100",1,1.738111,1.738111,31609.147485,4766549.0,12.0
"aidw-omp","aidw","Geoscience","omp","H100",1,2.244869,2.244869,22274.564299,3503701.0,12.0
"aligned-types-cuda","aligned-types","Language and kernel features","cuda","3080",4,0.0,0.0,0.0,146763.0,36.0
"aligned-types-cuda","aligned-types","Language and kernel features","cuda","A10",4,0.0,0.0,0.0,204576.0,36.0
"aligned-types-cuda","aligned-types","Language and kernel features","cuda","A100",4,0.813305,0.379493,0.290009,73899.0,24.0
"aligned-types-cuda","aligned-types","Language and kernel features","cuda","H100",4,0.0,0.0,0.0,42357.0,45.0
"aligned-types-omp","aligned-types","Language and kernel features","omp","3080",2,0.0,0.0,0.0,178730.5,27.0
"aligned-types-omp","aligned-types","Language and kernel features","omp","A10",2,0.0,0.0,0.0,258368.0,27.0
"aligned-types-omp","aligned-types","Language and kernel features","omp","A100",2,0.646728,0.502785,0.57157,132914.5,17.0
"aligned-types-omp","aligned-types","Language and kernel features","omp","H100",2,0.0,0.0,0.0,78845.0,37.0
"all-pairs-distance-cuda","all-pairs-distance","Bioinformatics","cuda","3080",3,0.0,0.0,0.0,218027.0,36.0
"all-pairs-distance-cuda","all-pairs-distance","Bioinformatics","cuda","A10",3,0.0,0.0,0.0,332693.0,36.0
"all-pairs-distance-cuda","all-pairs-distance","Bioinformatics","cuda","A100",3,0.166252,0.00126,0.203013,159147.0,37.0
"all-pairs-distance-cuda","all-pairs-distance","Bioinformatics","cuda","H100",3,0.317234,0.0,0.0,82304.0,31.0
"all-pairs-distance-omp","all-pairs-distance","Bioinformatics","omp","3080",2,0.0,0.0,0.0,577435.0,27.0
"all-pairs-distance-omp","all-pairs-distance","Bioinformatics","omp","A10",2,0.0,0.0,0.0,885333.5,27.0
